"V160001","V161126","V161196","V161342","V162034a","V162148"
300855,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
300860,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300864,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","1. Favor"
300869,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300873,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300875,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
300882,"4. Moderate, middle of the road","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300885,"3. Slightly liberal","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
300890,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
300898,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300900,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300901,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300910,"6. Conservative","1. Favor","1. Male","2. Donald Trump","1. Favor"
300911,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300917,"4. Moderate, middle of the road","2. Oppose","2. Female","4. Jill Stein","3. Neither favor nor oppose"
300920,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300921,"5. Slightly conservative","1. Favor","1. Male","1. Hillary Clinton","2. Oppose"
300925,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300926,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300928,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300930,"5. Slightly conservative","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
300935,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300937,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","1. Favor"
